Region,Country,Year,Age,Gender,Literacy rate
Europe and Northern America,Spain,2011,15-24,female,99.75%
Europe and Northern America,Spain,2011,15-24,male,99.65%
Europe and Northern America,Spain,2011,15-24,total,99.70%
Europe and Northern America,Spain,2011,25-64,female,98.79%
Europe and Northern America,Spain,2011,25-64,male,99.09%
Europe and Northern America,Spain,2011,25-64,total,98.94%
Europe and Northern America,Spain,2011,65+,female,90.71%
Europe and Northern America,Spain,2011,65+,male,95.63%
Europe and Northern America,Spain,2011,65+,total,92.82%
Europe and Northern America,Spain,2012,15+,female,97.22%
Europe and Northern America,Spain,2012,15+,male,98.61%
Europe and Northern America,Spain,2012,15+,total,97.89%
Europe and Northern America,Spain,2012,15-24,female,99.71%
Europe and Northern America,Spain,2012,15-24,male,99.64%
Europe and Northern America,Spain,2012,15-24,total,99.67%
Europe and Northern America,Spain,2012,25-64,female,98.92%
Europe and Northern America,Spain,2012,25-64,male,99.09%
Europe and Northern America,Spain,2012,25-64,total,99.00%
Europe and Northern America,Spain,2012,65+,female,91.17%
Europe and Northern America,Spain,2012,65+,male,96.08%
Europe and Northern America,Spain,2012,65+,total,93.28%
Europe and Northern America,Spain,2013,15+,female,97.44%
Europe and Northern America,Spain,2013,15+,male,98.75%
Europe and Northern America,Spain,2013,15+,total,98.08%
Europe and Northern America,Spain,2013,15-24,female,99.64%
Europe and Northern America,Spain,2013,15-24,male,99.69%
Europe and Northern America,Spain,2013,15-24,total,99.67%
Europe and Northern America,Spain,2013,25-64,female,99.04%
Europe and Northern America,Spain,2013,25-64,male,99.21%
Europe and Northern America,Spain,2013,25-64,total,99.13%
Europe and Northern America,Spain,2013,65+,female,91.83%
Europe and Northern America,Spain,2013,65+,male,96.42%
Europe and Northern America,Spain,2013,65+,total,93.82%
Europe and Northern America,Spain,2014,15+,female,97.49%
Europe and Northern America,Spain,2014,15+,male,98.73%
Europe and Northern America,Spain,2014,15+,total,98.09%
Europe and Northern America,Spain,2014,15-24,female,99.69%
Europe and Northern America,Spain,2014,15-24,male,99.76%
Europe and Northern America,Spain,2014,15-24,total,99.72%
Europe and Northern America,Spain,2014,25-64,female,99.05%
Europe and Northern America,Spain,2014,25-64,male,99.20%
Europe and Northern America,Spain,2014,25-64,total,99.12%
Europe and Northern America,Spain,2014,65+,female,92.13%
Europe and Northern America,Spain,2014,65+,male,96.42%
Europe and Northern America,Spain,2014,65+,total,93.99%
Europe and Northern America,Spain,2015,15+,female,97.55%
Europe and Northern America,Spain,2015,15+,male,98.77%
Europe and Northern America,Spain,2015,15+,total,98.14%
Europe and Northern America,Spain,2015,15-24,female,99.69%
Europe and Northern America,Spain,2015,15-24,male,99.62%
Europe and Northern America,Spain,2015,15-24,total,99.66%
Europe and Northern America,Spain,2015,25-64,female,99.10%
Europe and Northern America,Spain,2015,25-64,male,99.23%
Europe and Northern America,Spain,2015,25-64,total,99.16%
Europe and Northern America,Spain,2015,65+,female,92.34%
Europe and Northern America,Spain,2015,65+,male,96.65%
Europe and Northern America,Spain,2015,65+,total,94.22%
Europe and Northern America,Spain,2016,15+,female,97.70%
Europe and Northern America,Spain,2016,15+,male,98.84%
Europe and Northern America,Spain,2016,15+,total,98.25%
Europe and Northern America,Spain,2016,15-24,female,99.61%
Europe and Northern America,Spain,2016,15-24,male,99.64%
Europe and Northern America,Spain,2016,15-24,total,99.62%
Europe and Northern America,Spain,2016,25-64,female,99.14%
Europe and Northern America,Spain,2016,25-64,male,99.28%
Europe and Northern America,Spain,2016,25-64,total,99.21%
Europe and Northern America,Spain,2016,65+,female,92.96%
Europe and Northern America,Spain,2016,65+,male,96.84%
Europe and Northern America,Spain,2016,65+,total,94.66%
Europe and Northern America,Spain,2018,15+,female,97.97%
Europe and Northern America,Spain,2018,15+,male,98.93%
Europe and Northern America,Spain,2018,15+,total,98.44%
Europe and Northern America,Spain,2018,15-24,female,99.74%
Europe and Northern America,Spain,2018,15-24,male,99.69%
Europe and Northern America,Spain,2018,15-24,total,99.72%
Europe and Northern America,Spain,2018,25-64,female,99.29%
Europe and Northern America,Spain,2018,25-64,male,99.33%
Europe and Northern America,Spain,2018,25-64,total,99.31%
Europe and Northern America,Spain,2018,65+,female,93.73%
Europe and Northern America,Spain,2018,65+,male,97.13%
Europe and Northern America,Spain,2018,65+,total,95.22%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,15+,female,96.70%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,15+,male,98.81%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,15+,total,97.80%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,15-24,female,98.50%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,15-24,male,98.76%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,15-24,total,98.60%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,25-64,female,98.10%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,25-64,male,99.10%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,25-64,total,98.60%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,65+,female,89.00%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,65+,male,97.30%
Europe and Northern America,The former Yugoslav Republic of Macedonia,2014,65+,total,92.60%
Europe and Northern America,Ukraine,2012,15+,female,99.96%
Europe and Northern America,Ukraine,2012,15+,male,99.99%
Europe and Northern America,Ukraine,2012,15+,total,99.97%
Europe and Northern America,Ukraine,2012,15-24,female,99.98%
Europe and Northern America,Ukraine,2012,15-24,male,99.96%
Europe and Northern America,Ukraine,2012,15-24,total,99.97%
Europe and Northern America,Ukraine,2012,25-64,female,99.96%
Europe and Northern America,Ukraine,2012,25-64,male,100.00%
Europe and Northern America,Ukraine,2012,25-64,total,99.98%
Europe and Northern America,Ukraine,2012,65+,female,99.93%
Europe and Northern America,Ukraine,2012,65+,male,100.00%
Europe and Northern America,Ukraine,2012,65+,total,99.95%
Latin America and the Caribbean,Antigua and Barbuda,2011,15+,female,99.42%
Latin America and the Caribbean,Antigua and Barbuda,2011,15+,male,98.40%
Latin America and the Caribbean,Antigua and Barbuda,2011,15+,total,98.95%
Latin America and the Caribbean,Antigua and Barbuda,2015,15+,female,99.42%
Latin America and the Caribbean,Antigua and Barbuda,2015,15+,male,98.40%
Latin America and the Caribbean,Antigua and Barbuda,2015,15+,total,98.95%
Latin America and the Caribbean,Argentina,2010,15+,female,98.93%
Latin America and the Caribbean,Argentina,2010,15+,male,98.99%
Latin America and the Caribbean,Argentina,2010,15+,total,98.95%
Latin America and the Caribbean,Argentina,2010,15-24,female,99.59%
Latin America and the Caribbean,Argentina,2010,15-24,male,99.01%
Latin America and the Caribbean,Argentina,2010,15-24,total,99.30%
Latin America and the Caribbean,Argentina,2010,25-64,female,99.15%
Latin America and the Caribbean,Argentina,2010,25-64,male,99.16%
Latin America and the Caribbean,Argentina,2010,25-64,total,99.16%
Latin America and the Caribbean,Argentina,2010,65+,female,97.15%
Latin America and the Caribbean,Argentina,2010,65+,male,97.98%
Latin America and the Caribbean,Argentina,2010,65+,total,97.48%
Latin America and the Caribbean,Argentina,2011,15+,female,99.00%
Latin America and the Caribbean,Argentina,2011,15+,male,99.23%
Latin America and the Caribbean,Argentina,2011,15+,total,99.11%
Latin America and the Caribbean,Argentina,2011,15-24,female,99.71%
Latin America and the Caribbean,Argentina,2011,15-24,male,99.55%
Latin America and the Caribbean,Argentina,2011,15-24,total,99.63%
Latin America and the Caribbean,Argentina,2011,25-64,female,99.30%
Latin America and the Caribbean,Argentina,2011,25-64,male,99.27%
Latin America and the Caribbean,Argentina,2011,25-64,total,99.29%
Latin America and the Caribbean,Argentina,2011,65+,female,96.86%
Latin America and the Caribbean,Argentina,2011,65+,male,98.34%
Latin America and the Caribbean,Argentina,2011,65+,total,97.46%
Latin America and the Caribbean,Argentina,2012,15+,female,99.10%
Latin America and the Caribbean,Argentina,2012,15+,male,99.11%
Latin America and the Caribbean,Argentina,2012,15+,total,99.11%
Latin America and the Caribbean,Argentina,2012,15-24,female,99.61%
Latin America and the Caribbean,Argentina,2012,15-24,male,99.14%
Latin America and the Caribbean,Argentina,2012,15-24,total,99.38%
Latin America and the Caribbean,Argentina,2012,25-64,female,99.21%
Latin America and the Caribbean,Argentina,2012,25-64,male,99.16%
Latin America and the Caribbean,Argentina,2012,25-64,total,99.19%
Latin America and the Caribbean,Argentina,2012,65+,female,98.01%
Latin America and the Caribbean,Argentina,2012,65+,male,98.76%
Latin America and the Caribbean,Argentina,2012,65+,total,98.30%
Latin America and the Caribbean,Argentina,2013,15+,female,99.09%
Latin America and the Caribbean,Argentina,2013,15+,male,99.16%
Latin America and the Caribbean,Argentina,2013,15+,total,99.12%
Latin America and the Caribbean,Argentina,2013,15-24,female,99.60%
Latin America and the Caribbean,Argentina,2013,15-24,male,99.51%
Latin America and the Caribbean,Argentina,2013,15-24,total,99.55%
Latin America and the Caribbean,Argentina,2013,25-64,female,99.39%
Latin America and the Caribbean,Argentina,2013,25-64,male,99.20%
Latin America and the Caribbean,Argentina,2013,25-64,total,99.30%
Latin America and the Caribbean,Argentina,2013,65+,female,97.32%
Latin America and the Caribbean,Argentina,2013,65+,male,98.15%
Latin America and the Caribbean,Argentina,2013,65+,total,97.65%
Latin America and the Caribbean,Argentina,2014,15+,female,98.93%
Latin America and the Caribbean,Argentina,2014,15+,male,99.06%
Latin America and the Caribbean,Argentina,2014,15+,total,98.99%
Latin America and the Caribbean,Argentina,2014,15-24,female,99.40%
Latin America and the Caribbean,Argentina,2014,15-24,male,99.20%
Latin America and the Caribbean,Argentina,2014,15-24,total,99.30%
Latin America and the Caribbean,Argentina,2014,25-64,female,99.22%
Latin America and the Caribbean,Argentina,2014,25-64,male,99.20%
Latin America and the Caribbean,Argentina,2014,25-64,total,99.21%
Latin America and the Caribbean,Argentina,2014,65+,female,97.12%
Latin America and the Caribbean,Argentina,2014,65+,male,98.06%
Latin America and the Caribbean,Argentina,2014,65+,total,97.50%
Latin America and the Caribbean,Argentina,2015,15+,female,99.21%
Latin America and the Caribbean,Argentina,2015,15+,male,99.15%
Latin America and the Caribbean,Argentina,2015,15+,total,99.18%
Latin America and the Caribbean,Argentina,2015,15-24,female,99.64%
Latin America and the Caribbean,Argentina,2015,15-24,male,99.48%
Latin America and the Caribbean,Argentina,2015,15-24,total,99.56%
Latin America and the Caribbean,Argentina,2015,25-64,female,99.34%
Latin America and the Caribbean,Argentina,2015,25-64,male,99.22%
Latin America and the Caribbean,Argentina,2015,25-64,total,99.28%
Latin America and the Caribbean,Argentina,2015,65+,female,98.15%
Latin America and the Caribbean,Argentina,2015,65+,male,98.09%
Latin America and the Caribbean,Argentina,2015,65+,total,98.12%
Latin America and the Caribbean,Argentina,2016,15+,female,99.14%
Latin America and the Caribbean,Argentina,2016,15+,male,99.10%
Latin America and the Caribbean,Argentina,2016,15+,total,99.13%
Latin America and the Caribbean,Argentina,2016,15-24,female,99.63%
Latin America and the Caribbean,Argentina,2016,15-24,male,99.38%
Latin America and the Caribbean,Argentina,2016,15-24,total,99.50%
Latin America and the Caribbean,Argentina,2016,25-64,female,99.43%
Latin America and the Caribbean,Argentina,2016,25-64,male,99.15%
Latin America and the Caribbean,Argentina,2016,25-64,total,99.30%
Latin America and the Caribbean,Argentina,2016,65+,female,97.62%
Latin America and the Caribbean,Argentina,2016,65+,male,98.42%
Latin America and the Caribbean,Argentina,2016,65+,total,97.94%
Latin America and the Caribbean,Argentina,2018,15+,female,99.06%
Latin America and the Caribbean,Argentina,2018,15+,male,98.94%
Latin America and the Caribbean,Argentina,2018,15+,total,99.00%
Latin America and the Caribbean,Argentina,2018,15-24,female,99.76%
Latin America and the Caribbean,Argentina,2018,15-24,male,99.24%
Latin America and the Caribbean,Argentina,2018,15-24,total,99.51%
Latin America and the Caribbean,Argentina,2018,25-64,female,99.41%
Latin America and the Caribbean,Argentina,2018,25-64,male,99.02%
Latin America and the Caribbean,Argentina,2018,25-64,total,99.23%
Latin America and the Caribbean,Argentina,2018,65+,female,97.18%
Latin America and the Caribbean,Argentina,2018,65+,male,98.15%
Latin America and the Caribbean,Argentina,2018,65+,total,97.58%
Latin America and the Caribbean,Aruba,2010,15+,female,96.72%
Latin America and the Caribbean,Aruba,2010,15+,male,96.94%
Latin America and the Caribbean,Aruba,2010,15+,total,96.82%
Latin America and the Caribbean,Aruba,2010,15-24,female,99.32%
Latin America and the Caribbean,Aruba,2010,15-24,male,98.97%
Latin America and the Caribbean,Aruba,2010,15-24,total,99.14%
Latin America and the Caribbean,Aruba,2010,25-64,female,97.97%
Latin America and the Caribbean,Aruba,2010,25-64,male,97.55%
Latin America and the Caribbean,Aruba,2010,25-64,total,97.78%
Latin America and the Caribbean,Aruba,2010,65+,female,87.80%
Latin America and the Caribbean,Aruba,2010,65+,male,90.32%
Latin America and the Caribbean,Aruba,2010,65+,total,88.86%
Latin America and the Caribbean,Aruba,2018,15+,female,97.81%
Latin America and the Caribbean,Aruba,2018,15+,male,97.80%
Latin America and the Caribbean,Aruba,2018,15+,total,97.81%
Latin America and the Caribbean,Aruba,2018,15-24,female,99.39%
Latin America and the Caribbean,Aruba,2018,15-24,male,99.60%
Latin America and the Caribbean,Aruba,2018,15-24,total,99.50%
Latin America and the Caribbean,Aruba,2018,25-64,female,98.51%
Latin America and the Caribbean,Aruba,2018,25-64,male,97.99%
Latin America and the Caribbean,Aruba,2018,25-64,total,98.26%
Latin America and the Caribbean,Aruba,2018,65+,female,93.80%
Latin America and the Caribbean,Aruba,2018,65+,male,94.72%
Latin America and the Caribbean,Aruba,2018,65+,total,94.20%
Latin America and the Caribbean,Barbados,2014,15+,female,99.60%
Latin America and the Caribbean,Barbados,2014,15+,male,99.60%
Latin America and the Caribbean,Barbados,2014,15+,total,99.60%
Latin America and the Caribbean,Barbados,2014,15-24,female,99.90%
Latin America and the Caribbean,Barbados,2014,15-24,male,99.92%
Latin America and the Caribbean,Barbados,2014,15-24,total,99.90%
Latin America and the Caribbean,Barbados,2014,25-64,female,99.70%
Latin America and the Caribbean,Barbados,2014,25-64,male,99.70%
Latin America and the Caribbean,Barbados,2014,25-64,total,99.70%
Latin America and the Caribbean,Barbados,2014,65+,female,98.50%
Latin America and the Caribbean,Barbados,2014,65+,male,98.60%
Latin America and the Caribbean,Barbados,2014,65+,total,98.50%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,15+,female,88.08%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,15+,male,96.60%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,15+,total,92.23%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,15-24,female,98.77%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,15-24,male,99.25%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,15-24,total,99.01%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,25-64,female,88.21%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,25-64,male,97.30%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,25-64,total,92.62%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,65+,female,53.69%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,65+,male,82.24%
Latin America and the Caribbean,Bolivia (Plurinational State of),2011,65+,total,67.09%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,15+,female,91.87%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,15+,male,97.11%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,15+,total,94.46%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,15-24,female,98.83%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,15-24,male,99.16%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,15-24,total,99.00%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,25-64,female,93.33%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,25-64,male,97.72%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,25-64,total,95.51%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,65+,female,61.43%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,65+,male,85.15%
Latin America and the Caribbean,Bolivia (Plurinational State of),2012,65+,total,72.30%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,15+,female,88.58%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,15+,male,96.52%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,15+,total,92.46%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,15-24,female,99.40%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,15-24,male,99.39%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,15-24,total,99.40%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,25-64,female,89.57%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,25-64,male,97.38%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,25-64,total,93.38%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,65+,female,54.01%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,65+,male,82.58%
Latin America and the Caribbean,Bolivia (Plurinational State of),2015,65+,total,67.47%
Latin America and the Caribbean,Brazil,2010,15+,female,90.68%
Latin America and the Caribbean,Brazil,2010,15+,male,90.06%
Latin America and the Caribbean,Brazil,2010,15+,total,90.38%
Latin America and the Caribbean,Brazil,2010,15-24,female,98.32%
Latin America and the Caribbean,Brazil,2010,15-24,male,96.72%
Latin America and the Caribbean,Brazil,2010,15-24,total,97.51%
Latin America and the Caribbean,Brazil,2010,25-64,female,91.47%
Latin America and the Caribbean,Brazil,2010,25-64,male,89.93%
Latin America and the Caribbean,Brazil,2010,25-64,total,90.73%
Latin America and the Caribbean,Brazil,2010,65+,female,69.39%
Latin America and the Caribbean,Brazil,2010,65+,male,72.27%
Latin America and the Caribbean,Brazil,2010,65+,total,70.64%
Latin America and the Caribbean,Brazil,2011,15+,female,91.63%
Latin America and the Caribbean,Brazil,2011,15+,male,91.17%
Latin America and the Caribbean,Brazil,2011,15+,total,91.41%
Latin America and the Caribbean,Brazil,2011,15-24,female,99.07%
Latin America and the Caribbean,Brazil,2011,15-24,male,97.91%
Latin America and the Caribbean,Brazil,2011,15-24,total,98.49%
Latin America and the Caribbean,Brazil,2011,25-64,female,92.96%
Latin America and the Caribbean,Brazil,2011,25-64,male,91.36%
Latin America and the Caribbean,Brazil,2011,25-64,total,92.20%
Latin America and the Caribbean,Brazil,2011,65+,female,70.65%
Latin America and the Caribbean,Brazil,2011,65+,male,73.69%
Latin America and the Caribbean,Brazil,2011,65+,total,71.96%
Latin America and the Caribbean,Brazil,2012,15+,female,91.62%
Latin America and the Caribbean,Brazil,2012,15+,male,91.03%
Latin America and the Caribbean,Brazil,2012,15+,total,91.34%
Latin America and the Caribbean,Brazil,2012,15-24,female,99.02%
Latin America and the Caribbean,Brazil,2012,15-24,male,98.23%
Latin America and the Caribbean,Brazil,2012,15-24,total,98.62%
Latin America and the Caribbean,Brazil,2012,25-64,female,92.90%
Latin America and the Caribbean,Brazil,2012,25-64,male,91.16%
Latin America and the Caribbean,Brazil,2012,25-64,total,92.07%
Latin America and the Caribbean,Brazil,2012,65+,female,72.03%
Latin America and the Caribbean,Brazil,2012,65+,male,73.87%
Latin America and the Caribbean,Brazil,2012,65+,total,72.83%
Latin America and the Caribbean,Brazil,2013,15+,female,91.76%
Latin America and the Caribbean,Brazil,2013,15+,male,91.18%
Latin America and the Caribbean,Brazil,2013,15+,total,91.48%
Latin America and the Caribbean,Brazil,2013,15-24,female,99.23%
Latin America and the Caribbean,Brazil,2013,15-24,male,98.25%
Latin America and the Caribbean,Brazil,2013,15-24,total,98.74%
Latin America and the Caribbean,Brazil,2013,25-64,female,93.24%
Latin America and the Caribbean,Brazil,2013,25-64,male,91.57%
Latin America and the Caribbean,Brazil,2013,25-64,total,92.44%
Latin America and the Caribbean,Brazil,2013,65+,female,71.49%
Latin America and the Caribbean,Brazil,2013,65+,male,73.41%
Latin America and the Caribbean,Brazil,2013,65+,total,72.32%
Latin America and the Caribbean,Brazil,2014,15+,female,92.06%
Latin America and the Caribbean,Brazil,2014,15+,male,91.37%
Latin America and the Caribbean,Brazil,2014,15+,total,91.73%
Latin America and the Caribbean,Brazil,2014,15-24,female,99.25%
Latin America and the Caribbean,Brazil,2014,15-24,male,98.45%
Latin America and the Caribbean,Brazil,2014,15-24,total,98.85%
Latin America and the Caribbean,Brazil,2014,25-64,female,93.62%
Latin America and the Caribbean,Brazil,2014,25-64,male,91.74%
Latin America and the Caribbean,Brazil,2014,25-64,total,92.72%
Latin America and the Caribbean,Brazil,2014,65+,female,72.82%
Latin America and the Caribbean,Brazil,2014,65+,male,74.51%
Latin America and the Caribbean,Brazil,2014,65+,total,73.55%
Latin America and the Caribbean,Brazil,2015,15+,female,92.34%
Latin America and the Caribbean,Brazil,2015,15+,male,91.73%
Latin America and the Caribbean,Brazil,2015,15+,total,92.05%
Latin America and the Caribbean,Brazil,2015,15-24,female,99.35%
Latin America and the Caribbean,Brazil,2015,15-24,male,98.60%
Latin America and the Caribbean,Brazil,2015,15-24,total,98.96%
Latin America and the Caribbean,Brazil,2015,25-64,female,94.09%
Latin America and the Caribbean,Brazil,2015,25-64,male,92.33%
Latin America and the Caribbean,Brazil,2015,25-64,total,93.25%
Latin America and the Caribbean,Brazil,2015,65+,female,73.66%
Latin America and the Caribbean,Brazil,2015,65+,male,75.04%
Latin America and the Caribbean,Brazil,2015,65+,total,74.26%
Latin America and the Caribbean,Brazil,2016,15+,female,93.02%
Latin America and the Caribbean,Brazil,2016,15+,male,92.58%
Latin America and the Caribbean,Brazil,2016,15+,total,92.81%
Latin America and the Caribbean,Brazil,2016,15-24,female,99.46%
Latin America and the Caribbean,Brazil,2016,15-24,male,98.78%
Latin America and the Caribbean,Brazil,2016,15-24,total,99.11%
Latin America and the Caribbean,Brazil,2016,25-64,female,94.65%
Latin America and the Caribbean,Brazil,2016,25-64,male,93.12%
Latin America and the Caribbean,Brazil,2016,25-64,total,93.92%
Latin America and the Caribbean,Brazil,2016,65+,female,76.00%
Latin America and the Caribbean,Brazil,2016,65+,male,77.33%
Latin America and the Caribbean,Brazil,2016,65+,total,76.57%
Latin America and the Caribbean,Brazil,2017,15+,female,93.24%
Latin America and the Caribbean,Brazil,2017,15+,male,92.89%
Latin America and the Caribbean,Brazil,2017,15+,total,93.08%
Latin America and the Caribbean,Brazil,2017,15-24,female,99.48%
Latin America and the Caribbean,Brazil,2017,15-24,male,98.84%
Latin America and the Caribbean,Brazil,2017,15-24,total,99.16%
Latin America and the Caribbean,Brazil,2017,25-64,female,94.80%
Latin America and the Caribbean,Brazil,2017,25-64,male,93.37%
Latin America and the Caribbean,Brazil,2017,25-64,total,94.12%
Latin America and the Caribbean,Brazil,2017,65+,female,77.01%
Latin America and the Caribbean,Brazil,2017,65+,male,78.78%
Latin America and the Caribbean,Brazil,2017,65+,total,77.77%
Latin America and the Caribbean,Brazil,2018,15+,female,93.43%
Latin America and the Caribbean,Brazil,2018,15+,male,93.01%
Latin America and the Caribbean,Brazil,2018,15+,total,93.23%
Latin America and the Caribbean,Brazil,2018,15-24,female,99.43%
Latin America and the Caribbean,Brazil,2018,15-24,male,98.98%
Latin America and the Caribbean,Brazil,2018,15-24,total,99.20%
Latin America and the Caribbean,Brazil,2018,25-64,female,95.10%
Latin America and the Caribbean,Brazil,2018,25-64,male,93.62%
Latin America and the Caribbean,Brazil,2018,25-64,total,94.40%
Latin America and the Caribbean,Brazil,2018,65+,female,77.94%
Latin America and the Caribbean,Brazil,2018,65+,male,79.34%
Latin America and the Caribbean,Brazil,2018,65+,total,78.54%
Latin America and the Caribbean,Chile,2011,15+,female,96.53%
Latin America and the Caribbean,Chile,2011,15+,male,96.90%
Latin America and the Caribbean,Chile,2011,15+,total,96.70%
Latin America and the Caribbean,Chile,2011,15-24,female,99.61%
Latin America and the Caribbean,Chile,2011,15-24,male,99.21%
Latin America and the Caribbean,Chile,2011,15-24,total,99.41%
Latin America and the Caribbean,Chile,2011,25-64,female,97.51%
Latin America and the Caribbean,Chile,2011,25-64,male,97.37%
Latin America and the Caribbean,Chile,2011,25-64,total,97.44%
Latin America and the Caribbean,Chile,2011,65+,female,88.27%
Latin America and the Caribbean,Chile,2011,65+,male,90.13%
Latin America and the Caribbean,Chile,2011,65+,total,89.06%
Latin America and the Caribbean,Chile,2013,15+,female,96.16%
Latin America and the Caribbean,Chile,2013,15+,male,96.39%
Latin America and the Caribbean,Chile,2013,15+,total,96.27%
Latin America and the Caribbean,Chile,2013,15-24,female,99.09%
Latin America and the Caribbean,Chile,2013,15-24,male,99.01%
Latin America and the Caribbean,Chile,2013,15-24,total,99.05%
Latin America and the Caribbean,Chile,2013,25-64,female,97.22%
Latin America and the Caribbean,Chile,2013,25-64,male,96.93%
Latin America and the Caribbean,Chile,2013,25-64,total,97.08%
Latin America and the Caribbean,Chile,2013,65+,female,88.47%
Latin America and the Caribbean,Chile,2013,65+,male,89.46%
Latin America and the Caribbean,Chile,2013,65+,total,88.89%
Latin America and the Caribbean,Chile,2015,15+,female,96.74%
Latin America and the Caribbean,Chile,2015,15+,male,97.02%
Latin America and the Caribbean,Chile,2015,15+,total,96.87%
Latin America and the Caribbean,Chile,2015,15-24,female,99.44%
Latin America and the Caribbean,Chile,2015,15-24,male,99.27%
Latin America and the Caribbean,Chile,2015,15-24,total,99.35%
Latin America and the Caribbean,Chile,2015,25-64,female,97.98%
Latin America and the Caribbean,Chile,2015,25-64,male,97.60%
Latin America and the Caribbean,Chile,2015,25-64,total,97.80%
Latin America and the Caribbean,Chile,2015,65+,female,89.11%
Latin America and the Caribbean,Chile,2015,65+,male,91.05%
Latin America and the Caribbean,Chile,2015,65+,total,89.93%
Latin America and the Caribbean,Chile,2017,15+,female,96.33%
Latin America and the Caribbean,Chile,2017,15+,male,96.48%
Latin America and the Caribbean,Chile,2017,15+,total,96.40%
Latin America and the Caribbean,Chile,2017,15-24,female,99.01%
Latin America and the Caribbean,Chile,2017,15-24,male,99.01%
Latin America and the Caribbean,Chile,2017,15-24,total,99.01%
Latin America and the Caribbean,Chile,2017,25-64,female,97.36%
Latin America and the Caribbean,Chile,2017,25-64,male,97.10%
Latin America and the Caribbean,Chile,2017,25-64,total,97.24%
Latin America and the Caribbean,Chile,2017,65+,female,90.22%
Latin America and the Caribbean,Chile,2017,65+,male,90.62%
Latin America and the Caribbean,Chile,2017,65+,total,90.39%
Latin America and the Caribbean,Colombia,2010,15+,female,93.49%
Latin America and the Caribbean,Colombia,2010,15+,male,93.25%
Latin America and the Caribbean,Colombia,2010,15+,total,93.37%
Latin America and the Caribbean,Colombia,2010,15-24,female,98.52%
Latin America and the Caribbean,Colombia,2010,15-24,male,97.68%
Latin America and the Caribbean,Colombia,2010,15-24,total,98.10%
Latin America and the Caribbean,Colombia,2010,25-64,female,94.40%
Latin America and the Caribbean,Colombia,2010,25-64,male,93.64%
Latin America and the Caribbean,Colombia,2010,25-64,total,94.03%
Latin America and the Caribbean,Colombia,2010,65+,female,75.35%
Latin America and the Caribbean,Colombia,2010,65+,male,77.44%
Latin America and the Caribbean,Colombia,2010,65+,total,76.30%
Latin America and the Caribbean,Colombia,2011,15+,female,93.67%
Latin America and the Caribbean,Colombia,2011,15+,male,93.49%
Latin America and the Caribbean,Colombia,2011,15+,total,93.58%
Latin America and the Caribbean,Colombia,2011,15-24,female,98.72%
Latin America and the Caribbean,Colombia,2011,15-24,male,97.76%
Latin America and the Caribbean,Colombia,2011,15-24,total,98.24%
Latin America and the Caribbean,Colombia,2011,25-64,female,94.38%
Latin America and the Caribbean,Colombia,2011,25-64,male,93.80%
